Date	Contract	Units	$Volume	LowPrice	HighPrice	AvgPrice	LastPrice	
05/01/00	Dem	224	112.043	0.49	0.55	0.5	0.55	0.5233111323
05/01/00	Reform	2	0.067	0.019	0.048	0.034	0.019	0.08421052632
05/01/00	Rep	116	57.95	0.488	0.501	0.5	0.5	0.9901185771
05/02/00	Dem	87	44.369	0.501	0.522	0.51	0.508	0.5112634672
05/02/00	Reform	50	0.196	0.003	0.005	0.004	0.003	0.009708737864
05/02/00	Rep	151	74.808	0.491	0.499	0.495	0.498	0.9900793651
05/03/00	Dem	44	22.389	0.508	0.51	0.509	0.51	0.5089820359
05/03/00	Reform	42	0.17	0.004	0.005	0.004	0.004	0.009633911368
05/03/00	Rep	25	12.29	0.491	0.492	0.492	0.491	0.9899396378
05/04/00	Dem	52	26.561	0.509	0.514	0.511	0.513	0.5114427861
05/04/00	Reform	166	0.673	0.004	0.005	0.004	0.005	0.009328358209
05/04/00	Rep	135	66.215	0.49	0.491	0.49	0.49	0.9899193548
05/05/00	Dem	50	25.823	0.513	0.531	0.516	0.524	0.5241855874
05/05/00	Reform	17	0.085	0.005	0.005	0.005	0.005	0.00946969697
05/05/00	Rep	19	9.073	0.477	0.482	0.478	0.482	0.9836734694
05/06/00	Dem	47	24.165	0.513	0.523	0.514	0.513	0.511741683
05/06/00	Reform	78	0.49	0.006	0.008	0.006	0.006	1
05/06/00	Rep	154	75.565	0.483	0.499	0.491	0.483	0.9861660079
05/07/00	Dem	0	0	0	0		0.513	0
05/07/00	Reform	40	0.27	0.006	0.007	0.007	0.006	0.01330798479
05/07/00	Rep	22	10.658	0.483	0.499	0.484	0.483	0.9881188119
05/08/00	Dem	15	7.686	0.51	0.519	0.512	0.51	0.5159045726
05/08/00	Reform	117	0.702	0.006	0.006	0.006	0.006	0.01158301158
05/08/00	Rep	107	51.418	0.478	0.487	0.481	0.487	0.9878296146
05/09/00	Dem	40	20.41	0.51	0.512	0.51	0.51	0.5109780439
05/09/00	Reform	31	0.186	0.006	0.006	0.006	0.006	0.01181102362
05/09/00	Rep	73	35.757	0.489	0.49	0.49	0.49	0.9898989899
05/10/00	Dem	414	206.902	0.49	0.502	0.5	0.5	0.498510427
05/10/00	Reform	309	1.243	0.004	0.005	0.004	0.005	0.009881422925
05/10/00	Rep	530	265.436	0.498	0.505	0.501	0.5	0.9901960784
05/11/00	Dem	42	21.001	0.499	0.501	0.5	0.5	0.496039604
05/11/00	Reform	33	0.133	0.004	0.005	0.004	0.004	0.009920634921
05/11/00	Rep	51	25.627	0.501	0.509	0.502	0.509	0.9883495146
05/12/00	Dem	50	24.724	0.488	0.499	0.494	0.495	0.4945490585
05/12/00	Reform	44	0.196	0.004	0.006	0.004	0.006	0.0119047619
05/12/00	Rep	17	8.543	0.502	0.51	0.503	0.502	1
05/13/00	Dem	12	5.971	0.495	0.498	0.498	0.495	0.498997996
05/13/00	Reform	0	0	0	0		0.006	0
05/13/00	Rep	10	5	0.5	0.5	0.5	0.5	1
05/14/00	Dem	3	1.497	0.499	0.499	0.499	0.499	1
05/14/00	Reform	0	0	0	0		0.006	0
05/14/00	Rep	0	0	0	0		0.5	0
05/15/00	Dem	27	13.407	0.494	0.499	0.497	0.494	0.499
05/15/00	Reform	51	0.204	0.004	0.004	0.004	0.004	0.007936507937
05/15/00	Rep	27	13.515	0.5	0.501	0.501	0.501	1
05/16/00	Dem	90	44.344	0.48	0.5	0.493	0.48	0.4911591356
05/16/00	Reform	0	0	0	0		0.004	0
05/16/00	Rep	61	31.196	0.503	0.518	0.511	0.51	1
05/17/00	Dem	92	45.809	0.489	0.5	0.498	0.5	0.4916420846
05/17/00	Reform	0	0	0	0		0.004	0
05/17/00	Rep	62	31.682	0.51	0.517	0.511	0.51	0.9923224568
05/18/00	Dem	121	58.32	0.476	0.485	0.482	0.476	0.4736328125
05/18/00	Reform	66	0.264	0.004	0.004	0.004	0.004	0.008032128514
05/18/00	Rep	79	40.796	0.514	0.539	0.516	0.539	0.9926335175
05/19/00	Dem	129	62.297	0.473	0.494	0.483	0.475	0.4557195572
05/19/00	Reform	94	0.376	0.004	0.004	0.004	0.004	0.007984031936
05/19/00	Rep	201	111.076	0.524	0.59	0.553	0.59	0.9932659933
05/20/00	Dem	306	149.64	0.461	0.497	0.489	0.497	0.486777669
05/20/00	Reform	4	0.016	0.004	0.004	0.004	0.004	0.00826446281
05/20/00	Rep	4	2.09	0.521	0.524	0.523	0.521	0.9905482042
05/21/00	Dem	100	47.895	0.47	0.48	0.479	0.48	0.4633204633
05/21/00	Reform	115	0.5	0.004	0.005	0.004	0.004	0.01030927835
05/21/00	Rep	161	85.955	0.52	0.556	0.534	0.52	0.9946332737
05/22/00	Dem	21	10.028	0.475	0.48	0.478	0.48	0.4795204795
05/22/00	Reform	158	0.474	0.003	0.003	0.003	0.003	0.006211180124
05/22/00	Rep	12	6.228	0.513	0.521	0.519	0.513	0.9867424242
05/23/00	Dem	251	120.36	0.476	0.48	0.48	0.476	0.48
05/23/00	Reform	197	1.084	0.004	0.007	0.006	0.005	0.01408450704
05/23/00	Rep	72	37.44	0.52	0.52	0.52	0.52	0.9942638623
05/24/00	Dem	289	138.318	0.47	0.49	0.479	0.475	0.4757281553
05/24/00	Reform	24	0.072	0.003	0.003	0.003	0.003	0.006276150628
05/24/00	Rep	89	47.275	0.522	0.54	0.531	0.54	0.9908256881
05/25/00	Dem	11	5.156	0.467	0.475	0.469	0.475	0.4684418146
05/25/00	Reform	272	1.313	0.003	0.005	0.005	0.005	0.009708737864
05/25/00	Rep	306	159.454	0.52	0.539	0.521	0.52	0.9889908257
05/26/00	Dem	252	126.971	0.483	0.51	0.504	0.51	0.498046875
05/26/00	Reform	52	0.309	0.004	0.006	0.006	0.004	0.01140684411
05/26/00	Rep	99	50.267	0.501	0.514	0.508	0.505	0.9922779923
05/27/00	Dem	89	46.086	0.514	0.52	0.518	0.52	0.5024154589
05/27/00	Reform	5	0.02	0.004	0.004	0.004	0.004	0.007490636704
05/27/00	Rep	189	96.221	0.505	0.515	0.509	0.515	1
05/28/00	Dem	503	260.677	0.49	0.53	0.518	0.53	0.5201177625
05/28/00	Reform	0	0	0	0		0.004	0
05/28/00	Rep	1	0.489	0.489	0.489	0.489	0.489	0.9898785425
05/29/00	Dem	25	12.975	0.515	0.52	0.519	0.52	1
05/29/00	Reform	278	0.874	0.003	0.005	0.003	0.005	0.01
05/29/00	Rep	0	0	0	0		0.489	0
05/30/00	Dem	9	4.455	0.495	0.495	0.495	0.495	0.4925373134
05/30/00	Reform	53	0.318	0.006	0.006	0.006	0.006	0.01153846154
05/30/00	Rep	249	126.944	0.504	0.51	0.51	0.51	0.9922178988
05/31/00	Dem	252	126.89	0.492	0.514	0.504	0.492	0.5034280118
05/31/00	Reform	115	0.445	0.003	0.004	0.004	0.003	0.007952286282
